Start
0.0006476278674118919
-5.327222544660934e-06,0.0020370083033098858
0.00010195548029014352,4.647816906343423e-05
6.637626877625986e-05,6.971702736670651e-06
4.689747780359417e-05,5.764676943183789e-05,5.486558386835934e-05
3.1445444230506284e-05,3.904178676080017e-05,2.585573686110683e-05
7.295681233015056e-05,-7.907885892109376e-06,-6.745273197978838e-06,3.3568294550900477e-05
7.357195209080145e-05,-7.903630899279077e-06,-6.736250187209733e-06,3.422592933925325e-05
7.419256051876306e-05,-7.899402506545902e-06,-6.727238086380247e-06,3.489097869365054e-05
7.481867312011954e-05,-7.895200887493223e-06,-6.718237434586924e-06,3.5563493017634806e-05
7.545032534339002e-05,-7.891026220214689e-06,-6.709248792742192e-06,3.624352269344609e-05
7.6087552582887e-05,-7.886878688133023e-06,-6.70027271598532e-06,3.6931118107418386e-05
7.673039018442007e-05,-7.882758463985045e-06,-6.691309759844152e-06,3.762632964075091e-05
7.73788734328615e-05,-7.878665732040033e-06,-6.682360489616498e-06,3.8329207662430415e-05
7.803303756007035e-05,-7.874600672653706e-06,-6.673425478663161e-06,3.903980253175697e-05
7.869291774593343e-05,-7.870563467833255e-06,-6.664505289187203e-06,3.975816461349848e-05
7.935854911082955e-05,-7.86655430019649e-06,-6.655600503833667e-06,4.048434424802571e-05
8.002996672105583e-05,-7.862573347281951e-06,-6.6467116981560465e-06,4.121839178131605e-05
8.07072055813891e-05,-7.85862080008963e-06,-6.6378394565479865e-06,4.196035754263803e-05
8.139030064503634e-05,-7.854696837171146e-06,-6.628984366095422e-06,4.271029185402985e-05
8.207928680485008e-05,-7.850801645446423e-06,-6.620147015688402e-06,4.346824503003571e-05
8.277419889424423e-05,-7.846935408782271e-06,-6.611328003501213e-06,4.423426737094731e-05
8.347507168967829e-05,-7.843098309269145e-06,-6.60252792283704e-06,4.500840917161628e-05
8.418193990369066e-05,-7.839290536491503e-06,-6.593747382084222e-06,4.579072070961639e-05
8.489483819218447e-05,-7.835512274788e-06,-6.58498698348324e-06,4.6581252257317235e-05
8.561380114866836e-05,-7.831763711106318e-06,-6.57624733889188e-06,4.738005407057385e-05
8.633886330887769e-05,-7.828045027523031e-06,-6.567529061250396e-06,4.81871763954713e-05
8.707005913749357e-05,-7.8243564158708e-06,-6.558832769549758e-06,4.9002669461108256e-05
8.78074230446713e-05,-7.820698060488282e-06,-6.550159085140159e-06,4.982658348635544e-05
8.855098937464666e-05,-7.817070146061075e-06,-6.541508634534329e-06,5.065896867358288e-05
8.930079240351549e-05,-7.813472864061019e-06,-6.5328820457993125e-06,5.149987521110243e-05
9.005686634915632e-05,-7.8099063964953e-06,-6.5242799547043234e-06,5.234935327026727e-05
9.081924535842119e-05,-7.806370932573678e-06,-6.515702997795733e-06,5.320745300827524e-05
9.158796351367201e-05,-7.802866660589977e-06,-6.507151813632192e-06,5.407422456497694e-05
9.236305483219775e-05,-7.799393764827342e-06,-6.498627054039516e-06,5.494971805657523e-05
9.314455326088542e-05,-7.79595242961055e-06,-6.49012936036579e-06,5.583398359223693e-05
9.39324926738052e-05,-7.792542849880887e-06,-6.481659389418956e-06,5.6727071251929975e-05
9.472690688919699e-05,-7.78916520017929e-06,-6.473217798881256e-06,5.7629031098941225e-05
9.552782963602483e-05,-7.785819678972003e-06,-6.464805245574509e-06,5.853991318015398e-05
9.633529459354257e-05,-7.782506459051361e-06,-6.456422398727277e-06,5.94597675113098e-05
9.714933534881389e-05,-7.779225737135007e-06,-6.448069923987651e-06,6.03886440971035e-05
9.796998543230886e-05,-7.775977689526356e-06,-6.439748493789962e-06,6.13265929113796e-05
9.879727829159164e-05,-7.772762504075145e-06,-6.431458782219998e-06,6.227366390951125e-05
9.963124730179822e-05,-7.769580366410664e-06,-6.4232014727032966e-06,6.322990701556336e-05
0.00010047192576800951,-7.766431454598807e-06,-6.414977244737982e-06,6.419537213540701e-05
0.00010131934690937518,-7.763315956975034e-06,-6.4067867870925416e-06,6.51701091443128e-05
0.00010217354387888945,-7.760234051119516e-06,-6.398630794322499e-06,6.615416788890753e-05
0.00010303454974115893,-7.757185923605234e-06,-6.390509953877951e-06,6.714759819273929e-05
0.00010390239749513443,-7.754171745378777e-06,-6.382424968752118e-06,6.815044984568863e-05
0.00010477712004310793,-7.75119170737075e-06,-6.374376540592072e-06,6.916277260803477e-05
0.0001056587502228675,-7.748245980153043e-06,-6.3663653742229015e-06,7.01846162109691e-05
0.00010654732077840118,-7.745334746218566e-06,-6.358392179659986e-06,7.121603035118282e-05
0.00010744286437742477,-7.74245818102419e-06,-6.350457668833839e-06,7.225706469448907e-05
0.00010834541360508115,-7.739616456834894e-06,-6.342562558490569e-06,7.330776887021628e-05
0.00010925500095393453,-7.736809754852955e-06,-6.334707569373085e-06,7.4368192474178e-05
0.0001101716588399576,-7.734038242500005e-06,-6.326893425388433e-06,7.543838506434307e-05
0.00011109541958319977,-7.731302098730117e-06,-6.319120851692658e-06,7.651839616320874e-05
0.0001120263154288953,-7.728601486579542e-06,-6.311390581477047e-06,7.760827525093105e-05
0.00011296437851823666,-7.725936581380252e-06,-6.303703346184283e-06,7.870807177366551e-05
0.00011390964090995455,-7.723307551497569e-06,-6.296059885680869e-06,7.981783513007786e-05
0.00011486213457446137,-7.72071456035632e-06,-6.288460937529591e-06,8.093761468283481e-05
0.00011582189138459485,-7.718157774004239e-06,-6.280907250520371e-06,8.206745974537858e-05
0.00011678894311865718,-7.715637359016411e-06,-6.273399567600577e-06,8.320741959275155e-05
0.00011776332146636867,-7.713153475251075e-06,-6.26593864150142e-06,8.435754344899524e-05
0.0001187450580173491,-7.710706282136257e-06,-6.25852522584229e-06,8.551788049304836e-05
0.00011973418426425421,-7.70829594043225e-06,-6.251160078225501e-06,8.668847985487486e-05
0.0001207307316027617,-7.705922605570278e-06,-6.2438439594313805e-06,8.786939061551955e-05
0.00012173473132976721,-7.703586432093387e-06,-6.236577631419868e-06,8.906066180584513e-05
0.0001227462146391793,-7.70128757235193e-06,-6.229361861230173e-06,9.02623424009811e-05
0.00012376521262333505,-7.699026179015453e-06,-6.222197417539085e-06,9.147448132598592e-05
0.0001247917562726946,-7.696802400520772e-06,-6.21508507525452e-06,9.269712744641007e-05
0.0001258258764751058,-7.69461637982298e-06,-6.2080256044688e-06,9.393032957619257e-05
0.00012686760400539582,-7.692468265733596e-06,-6.2010197916361615e-06,9.517413646365822e-05
0.00012791696954022027,-7.69035819669743e-06,-6.194068408167316e-06,9.642859680731061e-05
0.0001289740036412851,-7.688286313143819e-06,-6.187172244999026e-06,9.769375923497372e-05
0.00013003873676268793,-7.686252751824482e-06,-6.180332086309567e-06,9.896967231614318e-05
0.0001311111992456166,-7.684257649088685e-06,-6.1735487186641985e-06,0.00010025638455900259
0.00013219142132363682,-7.68230113233452e-06,-6.166822936982605e-06,0.000101553944397531
0.00013327943310774559,-7.680383336648375e-06,-6.160155534782816e-06,0.00010286240020467294
0.00013437526460314953,-7.678504381864945e-06,-6.153547307928206e-06,0.00010418180028306808
0.00013547894569041892,-7.676664394619045e-06,-6.146999052670729e-06,0.00010551219286434345
0.000136590506134411,-7.674863496063764e-06,-6.140511576780902e-06,0.0001068536261013835
0.00013770997558132795,-7.673101801717805e-06,-6.13408567694089e-06,0.00010820614808605206
0.0001388373835527216,-7.671379427918665e-06,-6.127722163696767e-06,0.00010956980681957711
0.00013997275945169693,-7.669696484370256e-06,-6.121421842085126e-06,0.00011094465023565736
0.00014111613255440487,-7.668053077168266e-06,-6.115185523054498e-06,0.00011233072618335083
0.00014226753200703086,-7.666449315614152e-06,-6.109014018885681e-06,0.00011372808243054438
0.00014342698683659187,-7.664885296907939e-06,-6.1029081408325164e-06,0.00011513676666475865
0.0001445945259329367,-7.663361120109277e-06,-6.096868707448563e-06,0.00011655682648351676
0.0001457701780610974,-7.661876879406712e-06,-6.090896530473384e-06,0.00011798830940308739
0.0001469539718495624,-7.66043266396503e-06,-6.084992437689271e-06,0.0001194312628408184
0.00014814593579319096,-7.65902856225513e-06,-6.079157241377017e-06,0.00012088573413635587
0.00014934609825339356,-7.657664655503701e-06,-6.073391763517996e-06,0.00012235177052723312
0.00015055448745190068,-7.656341023174959e-06,-6.067696833629219e-06,0.00012382941915296467
0.0001517711314724976,-7.655057739473434e-06,-6.062073269376064e-06,0.00012531872706666192
0.00015299605825640314,-7.6538148763277e-06,-6.0565218997759435e-06,0.00012681974121299527
0.00015422929560449003,-7.65261249946296e-06,-6.0510435499882415e-06,0.00012833250843868565
0.0001554708711728162,-7.651450670177404e-06,-6.045639046920945e-06,0.00012985707548668978
0.00015672081246821183,-7.650329446605084e-06,-6.040309221034754e-06,0.0001313934889925642
0.00015797914685104092,-7.649248884756751e-06,-6.0350549004866555e-06,0.00013294179548646362
0.00015924590153545105,-7.648209029429906e-06,-6.029876914460594e-06,0.00013450204138693765
0.0001605211035797284,-7.647209925949403e-06,-6.024776092445824e-06,0.00013607427300066694
0.00016180477988711646,-7.646251616087382e-06,-6.0197532685112715e-06,0.00013765853651574655
0.00016309695721188075,-7.645334130444367e-06,-6.014809269537166e-06,0.00013925487801030387
0.00016439766214382102,-7.64445750012048e-06,-6.009944930383468e-06,0.0001408633434354707
0.00016570692111686182,-7.643621752205162e-06,-6.005161078402252e-06,0.00014248397862669362
0.00016702476040533304,-7.642826900895391e-06,-6.000458551589857e-06,0.00014411682928827405
0.0001683512061157683,-7.642072965328636e-06,-5.99583817284359e-06,0.0001457619410059694
0.00016968628419518992,-7.641359949460066e-06,-5.991300777925465e-06,0.00014741935922875759
0.00017103002041732825,-7.640687861283288e-06,-5.986847195533704e-06,0.0001490891292772886
0.00017238244039212802,-7.640056693734507e-06,-5.982478258321697e-06,0.00015077129633593258
0.00017374356955230074,-7.639466444107554e-06,-5.978194791421074e-06,0.00015246590545594393
0.00017511343316549546,-7.63891709289026e-06,-5.973997625681113e-06,0.00015417300154417867
0.00017649205631470343,-7.638408625399926e-06,-5.969887586275077e-06,0.00015589262936759082
0.00017787946391194159,-7.637941013214841e-06,-5.965865503622034e-06,0.0001576248335462658
0.00017927568068678936,-7.637514226164696e-06,-5.961932197496786e-06,0.0001593696585556269
0.0001806807311878183,-7.637128224697795e-06,-5.958088494335476e-06,0.00016112714871760922
0.00018209463977744328,-7.636782967555475e-06,-5.9543352171047975e-06,0.00016289734820042345
0.0001835174306350311,-7.636478403167876e-06,-5.950673181568875e-06,0.00016468030102001328
